258968.814127585,6248285.87257396
258961.538071367,6248291.82571087
258952.939095835,6248295.79446881
258945.663039617,6248301.74760571
258937.064064085,6248306.37782331
258927.142169242,6248311.66950055
258919.866113023,6248316.96117781
258911.928597148,6248321.5913954
258901.345242648,6248328.86745162
258895.392105741,6248334.15912887
258886.79313021,6248336.14350784
258876.20977571,6248342.09664474
258870.91809846,6248342.7581044
258862.319122929,6248346.72686234
258853.720147398,6248350.69562027
258841.813873585,6248357.31021684
258835.199277022,6248363.9248134
258826.600301491,6248367.89357134
258816.678406647,6248373.84670824
258806.756511804,6248377.81546618
258796.173157304,6248381.12276446
258792.204399366,6248383.10714343
258792.204399366,6248372.52378893
258788.897101085,6248359.95605546
258786.912722116,6248350.69562027
258794.850237991,6248346.06540268
258800.141915241,6248344.08102371
258810.725269741,6248335.48204818
258826.600301491,6248324.89869368
258832.553438397,6248322.91431471
258837.845115647,6248320.26847609
258847.767010491,6248314.31533918
258853.058687741,6248309.68512159
258859.011824648,6248305.05490399
258870.256638804,6248299.10176709
258877.532695023,6248293.14863018
258883.485831929,6248288.51841259
258888.777509179,6248285.21111431
258902.66816196,6248277.93505809
258909.944218179,6248272.64338084
258921.189032335,6248267.35170359
258936.402604429,6248264.70586496
258943.678660648,6248262.72148599
258954.262015148,6248260.73710702
